Baseline - Traditional CDN-based System,,,,,NovaGenesis - Named Content Distribution,,,
Image,Size (Bytes),Data Transfer Rate (KB/s),Transfer Time (s),,Image,Size (Bytes),Data Transfer Rate (KB/s),Transfer Time (s)
904,"5,890","11,400",0.5167,,904,"5,890",10741.09312,0.54836132
905,"5,830","11,300",0.5159,,905,"5,830",10630.76598,0.548408272
906,"5,870","11,400",0.5149,,906,"5,870",10705.50209,0.548316179
907,"5,850","11,300",0.5177,,907,"5,850",11289.10247,0.518198857
908,"5,840","11,300",0.5168,,908,"5,840",11165.97264,0.523017581
909,"5,880","11,400",0.5158,,909,"5,880",11194.56453,0.525254911
910,"5,840","11,300",0.5168,,910,"5,840",11107.87368,0.525753188
911,"5,850","11,300",0.5177,,911,"5,850",11105.06085,0.526786848
912,"5,860","11,300",0.5186,,912,"5,860",11096.14856,0.52811117
913,"5,890","11,400",0.5167,,913,"5,890",11144.06578,0.528532415
914,"5,860","11,300",0.5186,,914,"5,860",11074.06129,0.52916449
915,"5,900","11,400",0.5175,,915,"5,900",11142.17409,0.529519639
916,"5,850","11,300",0.5177,,916,"5,850",11020.21309,0.53084273
917,"5,850","11,300",0.5177,,917,"5,850",10949.07077,0.534291916
918,"5,890","11,400",0.5167,,918,"5,890",10983.39931,0.53626385
919,"5,850","11,300",0.5177,,919,"5,850",10906.33441,0.536385533
920,"5,870","11,400",0.5149,,920,"5,870",10928.04398,0.537150108
921,"5,850","11,300",0.5177,,921,"5,850",10887.50375,0.537313248
922,"5,840","11,300",0.5168,,922,"5,840",10858.46972,0.537829008
923,"5,850","11,300",0.5177,,923,"5,850",10834.85818,0.539924003
924,"5,810","11,300",0.5142,,924,"5,810",10747.04339,0.540613803
925,"5,840","11,300",0.5168,,925,"5,840",10764.89368,0.542504197
926,"5,920","11,500",0.5148,,926,"5,920",10896.05826,0.543315744
927,"5,820","11,300",0.515,,927,"5,820",11014.57363,0.528390857
928,"5,890","11,400",0.5167,,928,"5,890",11118.98371,0.529724672
929,"5,860","11,300",0.5186,,929,"5,860",11022.65432,0.531632385
930,"5,870","11,400",0.5149,,930,"5,870",11025.92657,0.532381561
931,"5,840","10,600",0.5509,,931,"5,840",10990.41876,0.531371927
932,"5,830","11,300",0.5159,,932,"5,830",10982.35482,0.530851543
933,"5,850","11,300",0.5177,,933,"5,850",10998.80079,0.531876166
